Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
eggs,chicken,french fries,spaghetti,avocado,chocolate,mineral water,turkey,salt,
burgers,oil,honey,turkey,pancakes,eggs,magazines,,,
french fries,red wine,shrimp,brownies,salmon,hotdogs,ground beef,tomatoes,pancakes,milk
soup,yams,green tea,magazines,cookies,,,,,
cookies,cake,brownies,hotdogs,oil,mineral water,eggs,,,
brownies,avocado,chicken,magazines,red wine,shrimp,salt,tomatoes,spaghetti,
pasta,tomatoes,spaghetti,oil,cookies,,,,,
honey,green tea,soup,,,,,,,
turkey,chicken,oil,yams,avocado,pasta,,,,
cookies,chocolate,brownies,mineral water,,,,,,
body spray,fresh bread,ground beef,honey,turkey,french fries,oil,soup,,
turkey,pancakes,milk,pasta,red wine,salt,shrimp,yams,body spray,
magazines,red wine,fresh bread,turkey,body spray,yams,,,,
avocado,burgers,brownies,chicken,mineral water,red wine,tomatoes,,,
honey,milk,magazines,turkey,chocolate,,,,,
cake,salmon,tomatoes,spaghetti,eggs,green tea,burgers,fresh bread,french fries,salmon
chicken,french fries,eggs,spaghetti,tomatoes,oil,,,,
cake,chicken,shrimp,shrimp,yams,,,,,
ground beef,honey,hotdogs,red wine,,,,,,
shrimp,body spray,salt,burgers,ground beef,french fries,,,,